	ph	exon	ph_chr	ph_start	ph_end	ph_strand	exon_chr	exon_start	exon_end	exon_strand	strand
109	chr20_34327566_34328431_-	chr20_34327025_34327469_-	20	34327566	34328431	-	20	34327025	34327469	-	-1
110	chr20_34327566_34328431_-	chr20_34327315_34327469_-	20	34327566	34328431	-	20	34327315	34327469	-	-1
111	chr20_34327566_34328431_-	chr20_34328447_34328519_-	20	34327566	34328431	-	20	34328447	34328519	-	-1
113	chr20_34327712_34328376_-	chr20_34328447_34328519_-	20	34327712	34328376	-	20	34328447	34328519	-	-1
115	chr20_34327721_34328422_-	chr20_34328447_34328519_-	20	34327721	34328422	-	20	34328447	34328519	-	-1
116	chr20_34328528_34330112_-	chr20_34328021_34328519_-	20	34328528	34330112	-	20	34328021	34328519	-	-1
117	chr20_34328528_34330112_-	chr20_34328447_34328519_-	20	34328528	34330112	-	20	34328447	34328519	-	-1
118	chr20_62562437_62562470_+	chr20_62562462_62562535_+	20	62562437	62562470	+	20	62562462	62562535	+	1
120	chr3_9471764_9473444_+	chr3_9471609_9471735_+	3	9471764	9473444	+	3	9471609	9471735	+	1
121	chr3_9471764_9473444_+	chr3_9471634_9471735_+	3	9471764	9473444	+	3	9471634	9471735	+	1
122	chr3_9471764_9473444_+	chr3_9471657_9471735_+	3	9471764	9473444	+	3	9471657	9471735	+	1
123	chr3_9471826_9475538_+	chr3_9471511_9471735_+	3	9471826	9475538	+	3	9471511	9471735	+	1
124	chr3_48730854_48731346_-	chr3_48731386_48731673_-	3	48730854	48731346	-	3	48731386	48731673	-	-1
125	chr3_48730854_48731346_-	chr3_48731417_48731673_-	3	48730854	48731346	-	3	48731417	48731673	-	-1
126	chr3_152165068_152173328_+	chr3_152173331_152173366_+	3	152165068	152173328	+	3	152173331	152173366	+	1
127	chr3_156869856_156874785_-	chr3_156874800_156874872_-	3	156869856	156874785	-	3	156874800	156874872	-	-1
131	chr3_156869888_156874743_-	chr3_156874800_156874872_-	3	156869888	156874743	-	3	156874800	156874872	-	-1
134	chr4_54257508_54257531_+	chr4_54257597_54257665_+	4	54257508	54257531	+	4	54257597	54257665	+	1
136	chr1_1326889_1328101_-	chr1_1328170_1328183_-	1	1326889	1328101	-	1	1328170	1328183	-	-1
137	chr4_83292831_83294877_-	chr4_83292681_83292737_-	4	83292831	83294877	-	4	83292681	83292737	-	-1
140	chr4_83346544_83346682_-	chr4_83346716_83346820_-	4	83346544	83346682	-	4	83346716	83346820	-	-1
142	chr4_83346582_83346659_-	chr4_83346716_83346820_-	4	83346582	83346659	-	4	83346716	83346820	-	-1
144	chr4_83346825_83346891_-	chr4_83346716_83346820_-	4	83346825	83346891	-	4	83346716	83346820	-	-1
149	chr4_83748522_83752096_-	chr4_83752090_83752128_-	4	83748522	83752096	-	4	83752090	83752128	-	-1
150	chr4_103747772_103748684_-	chr4_103748749_103749105_-	4	103747772	103748684	-	4	103748749	103749105	-	-1
152	chr4_103747772_103748709_-	chr4_103748749_103749105_-	4	103747772	103748709	-	4	103748749	103749105	-	-1
154	chr4_103747802_103748728_-	chr4_103748749_103749105_-	4	103747802	103748728	-	4	103748749	103749105	-	-1
157	chr4_103748614_103749007_-	chr4_103749101_103749167_-	4	103748614	103749007	-	4	103749101	103749167	-	-1
159	chr4_103748614_103749007_-	chr4_103749101_103749186_-	4	103748614	103749007	-	4	103749101	103749186	-	-1
161	chr4_103748614_103749007_-	chr4_103749101_103749188_-	4	103748614	103749007	-	4	103749101	103749188	-	-1
163	chr4_103748614_103749007_-	chr4_103749101_103749221_-	4	103748614	103749007	-	4	103749101	103749221	-	-1
165	chr4_103748614_103749007_-	chr4_103749101_103749316_-	4	103748614	103749007	-	4	103749101	103749316	-	-1
167	chr4_103748617_103749022_-	chr4_103749101_103749167_-	4	103748617	103749022	-	4	103749101	103749167	-	-1
169	chr4_103748617_103749022_-	chr4_103749101_103749186_-	4	103748617	103749022	-	4	103749101	103749186	-	-1
171	chr4_103748617_103749022_-	chr4_103749101_103749188_-	4	103748617	103749022	-	4	103749101	103749188	-	-1
173	chr4_103748617_103749022_-	chr4_103749101_103749221_-	4	103748617	103749022	-	4	103749101	103749221	-	-1
175	chr4_103748617_103749022_-	chr4_103749101_103749316_-	4	103748617	103749022	-	4	103749101	103749316	-	-1
177	chr4_103748629_103749055_-	chr4_103749101_103749167_-	4	103748629	103749055	-	4	103749101	103749167	-	-1
179	chr4_103748629_103749055_-	chr4_103749101_103749186_-	4	103748629	103749055	-	4	103749101	103749186	-	-1
181	chr4_103748629_103749055_-	chr4_103749101_103749188_-	4	103748629	103749055	-	4	103749101	103749188	-	-1
183	chr4_103748629_103749055_-	chr4_103749101_103749221_-	4	103748629	103749055	-	4	103749101	103749221	-	-1
185	chr4_103748629_103749055_-	chr4_103749101_103749316_-	4	103748629	103749055	-	4	103749101	103749316	-	-1
187	chr4_103748630_103748725_-	chr4_103748749_103749105_-	4	103748630	103748725	-	4	103748749	103749105	-	-1
189	chr4_103748635_103748685_-	chr4_103748749_103749105_-	4	103748635	103748685	-	4	103748749	103749105	-	-1
191	chr4_103748644_103749020_-	chr4_103749101_103749167_-	4	103748644	103749020	-	4	103749101	103749167	-	-1
193	chr4_103748644_103749020_-	chr4_103749101_103749186_-	4	103748644	103749020	-	4	103749101	103749186	-	-1
195	chr4_103748644_103749020_-	chr4_103749101_103749188_-	4	103748644	103749020	-	4	103749101	103749188	-	-1
197	chr4_103748644_103749020_-	chr4_103749101_103749221_-	4	103748644	103749020	-	4	103749101	103749221	-	-1
199	chr4_103748644_103749020_-	chr4_103749101_103749316_-	4	103748644	103749020	-	4	103749101	103749316	-	-1
201	chr4_103748668_103749055_-	chr4_103749101_103749167_-	4	103748668	103749055	-	4	103749101	103749167	-	-1
203	chr4_103748668_103749055_-	chr4_103749101_103749186_-	4	103748668	103749055	-	4	103749101	103749186	-	-1
205	chr4_103748668_103749055_-	chr4_103749101_103749188_-	4	103748668	103749055	-	4	103749101	103749188	-	-1
207	chr4_103748668_103749055_-	chr4_103749101_103749221_-	4	103748668	103749055	-	4	103749101	103749221	-	-1
209	chr4_103748668_103749055_-	chr4_103749101_103749316_-	4	103748668	103749055	-	4	103749101	103749316	-	-1
211	chr4_103748727_103749045_-	chr4_103749101_103749167_-	4	103748727	103749045	-	4	103749101	103749167	-	-1
212	chr4_103748727_103749045_-	chr4_103749101_103749186_-	4	103748727	103749045	-	4	103749101	103749186	-	-1
213	chr4_103748727_103749045_-	chr4_103749101_103749188_-	4	103748727	103749045	-	4	103749101	103749188	-	-1
214	chr4_103748727_103749045_-	chr4_103749101_103749221_-	4	103748727	103749045	-	4	103749101	103749221	-	-1
215	chr4_103748727_103749045_-	chr4_103749101_103749316_-	4	103748727	103749045	-	4	103749101	103749316	-	-1
216	chr4_103748730_103749018_-	chr4_103749101_103749167_-	4	103748730	103749018	-	4	103749101	103749167	-	-1
217	chr4_103748730_103749018_-	chr4_103749101_103749186_-	4	103748730	103749018	-	4	103749101	103749186	-	-1
218	chr4_103748730_103749018_-	chr4_103749101_103749188_-	4	103748730	103749018	-	4	103749101	103749188	-	-1
219	chr4_103748730_103749018_-	chr4_103749101_103749221_-	4	103748730	103749018	-	4	103749101	103749221	-	-1
220	chr4_103748730_103749018_-	chr4_103749101_103749316_-	4	103748730	103749018	-	4	103749101	103749316	-	-1
221	chr4_103748746_103749044_-	chr4_103749101_103749167_-	4	103748746	103749044	-	4	103749101	103749167	-	-1
222	chr4_103748746_103749044_-	chr4_103749101_103749186_-	4	103748746	103749044	-	4	103749101	103749186	-	-1
223	chr4_103748746_103749044_-	chr4_103749101_103749188_-	4	103748746	103749044	-	4	103749101	103749188	-	-1
224	chr4_103748746_103749044_-	chr4_103749101_103749221_-	4	103748746	103749044	-	4	103749101	103749221	-	-1
225	chr4_103748746_103749044_-	chr4_103749101_103749316_-	4	103748746	103749044	-	4	103749101	103749316	-	-1
226	chr4_103748767_103749011_-	chr4_103749101_103749167_-	4	103748767	103749011	-	4	103749101	103749167	-	-1
227	chr4_103748767_103749011_-	chr4_103749101_103749186_-	4	103748767	103749011	-	4	103749101	103749186	-	-1
228	chr4_103748767_103749011_-	chr4_103749101_103749188_-	4	103748767	103749011	-	4	103749101	103749188	-	-1
229	chr4_103748767_103749011_-	chr4_103749101_103749221_-	4	103748767	103749011	-	4	103749101	103749221	-	-1
230	chr4_103748767_103749011_-	chr4_103749101_103749316_-	4	103748767	103749011	-	4	103749101	103749316	-	-1
231	chr4_103748775_103749051_-	chr4_103749101_103749167_-	4	103748775	103749051	-	4	103749101	103749167	-	-1
232	chr4_103748775_103749051_-	chr4_103749101_103749186_-	4	103748775	103749051	-	4	103749101	103749186	-	-1
233	chr4_103748775_103749051_-	chr4_103749101_103749188_-	4	103748775	103749051	-	4	103749101	103749188	-	-1
234	chr4_103748775_103749051_-	chr4_103749101_103749221_-	4	103748775	103749051	-	4	103749101	103749221	-	-1
235	chr4_103748775_103749051_-	chr4_103749101_103749316_-	4	103748775	103749051	-	4	103749101	103749316	-	-1
236	chr5_65449494_65454575_+	chr5_65454637_65454760_+	5	65449494	65454575	+	5	65454637	65454760	+	1
238	chr1_148335820_148342442_-	chr1_148335535_148335740_-	1	148335820	148342442	-	1	148335535	148335740	-	-1
239	chr5_179042644_179045069_-	chr5_179042547_179042596_-	5	179042644	179045069	-	5	179042547	179042596	-	-1
241	chr5_179042644_179045069_-	chr5_179042561_179042596_-	5	179042644	179045069	-	5	179042561	179042596	-	-1
243	chr5_179043962_179050438_-	chr5_179043875_179043959_-	5	179043962	179050438	-	5	179043875	179043959	-	-1
244	chr5_179043962_179050438_-	chr5_179043900_179043959_-	5	179043962	179050438	-	5	179043900	179043959	-	-1
247	chr5_179043968_179044993_-	chr5_179043875_179043959_-	5	179043968	179044993	-	5	179043875	179043959	-	-1
248	chr5_179043968_179044993_-	chr5_179043900_179043959_-	5	179043968	179044993	-	5	179043900	179043959	-	-1
249	chr5_179044000_179046278_-	chr5_179046270_179046361_-	5	179044000	179046278	-	5	179046270	179046361	-	-1
250	chr5_179044000_179046278_-	chr5_179046270_179046709_-	5	179044000	179046278	-	5	179046270	179046709	-	-1
251	chr5_179044000_179046278_-	chr5_179046274_179046408_-	5	179044000	179046278	-	5	179046274	179046408	-	-1
252	chr5_179044000_179046278_-	chr5_179046302_179046408_-	5	179044000	179046278	-	5	179046302	179046408	-	-1
253	chr5_179044000_179046278_-	chr5_179046316_179046408_-	5	179044000	179046278	-	5	179046316	179046408	-	-1
254	chr6_31612249_31616759_-	chr6_31612084_31612191_-	6	31612249	31616759	-	6	31612084	31612191	-	-1
255	chr6_31616968_31620202_-	chr6_31620201_31620222_-	6	31616968	31620202	-	6	31620201	31620222	-	-1
256	chr6_31856854_31865275_-	chr6_31856746_31856847_-	6	31856854	31865275	-	6	31856746	31856847	-	-1
257	chr6_43749824_43749940_+	chr6_43749693_43749789_+	6	43749824	43749940	+	6	43749693	43749789	+	1
258	chr6_43749824_43749940_+	chr6_43749693_43749824_+	6	43749824	43749940	+	6	43749693	43749824	+	1
259	chr6_43749824_43749940_+	chr6_43749748_43749824_+	6	43749824	43749940	+	6	43749748	43749824	+	1
260	chr6_64282615_64291254_+	chr6_64281917_64282624_+	6	64282615	64291254	+	6	64281917	64282624	+	1
261	chr6_64282615_64291254_+	chr6_64282475_64282624_+	6	64282615	64291254	+	6	64282475	64282624	+	1
262	chr6_64282615_64291254_+	chr6_64282586_64282624_+	6	64282615	64291254	+	6	64282586	64282624	+	1
263	chr6_64282620_64290824_+	chr6_64281917_64282624_+	6	64282620	64290824	+	6	64281917	64282624	+	1
264	chr6_64282620_64290824_+	chr6_64282475_64282624_+	6	64282620	64290824	+	6	64282475	64282624	+	1
265	chr6_64282620_64290824_+	chr6_64282586_64282624_+	6	64282620	64290824	+	6	64282586	64282624	+	1
272	chr6_91246338_91254252_-	chr6_91254271_91254351_-	6	91246338	91254252	-	6	91254271	91254351	-	-1
273	chr6_131191385_131201212_-	chr6_131201284_131201346_-	6	131191385	131201212	-	6	131201284	131201346	-	-1
275	chr6_131191544_131201231_-	chr6_131201284_131201346_-	6	131191544	131201231	-	6	131201284	131201346	-	-1
277	chr6_131191544_131201231_-	chr6_131191468_131191521_-	6	131191544	131201231	-	6	131191468	131191521	-	-1
278	chr6_131197803_131201225_-	chr6_131201284_131201346_-	6	131197803	131201225	-	6	131201284	131201346	-	-1
279	chr6_131200662_131201234_-	chr6_131201284_131201346_-	6	131200662	131201234	-	6	131201284	131201346	-	-1
280	chr1_155238608_155243165_-	chr1_155238499_155238583_-	1	155238608	155243165	-	1	155238499	155238583	-	-1
281	chr1_155238608_155243165_-	chr1_155238499_155238586_-	1	155238608	155243165	-	1	155238499	155238586	-	-1
282	chr1_155238626_155243181_-	chr1_155238499_155238583_-	1	155238626	155243181	-	1	155238499	155238583	-	-1
283	chr1_155238626_155243181_-	chr1_155238499_155238586_-	1	155238626	155243181	-	1	155238499	155238586	-	-1
284	chr1_155238636_155243220_-	chr1_155238499_155238583_-	1	155238636	155243220	-	1	155238499	155238583	-	-1
285	chr1_155238636_155243220_-	chr1_155238499_155238586_-	1	155238636	155243220	-	1	155238499	155238586	-	-1
286	chr6_136588382_136589489_-	chr6_136588167_136588313_-	6	136588382	136589489	-	6	136588167	136588313	-	-1
288	chr6_168314117_168314364_+	chr6_168314083_168314103_+	6	168314117	168314364	+	6	168314083	168314103	+	1
289	chr7_26231327_26236024_-	chr7_26230613_26231298_-	7	26231327	26236024	-	7	26230613	26231298	-	-1
290	chr7_100273840_100276535_+	chr7_100273744_100273799_+	7	100273840	100276535	+	7	100273744	100273799	+	1
291	chr9_140349632_140349687_-	chr9_140349691_140349759_-	9	140349632	140349687	-	9	140349691	140349759	-	-1
293	chr9_140349652_140349694_-	chr9_140349691_140349759_-	9	140349652	140349694	-	9	140349691	140349759	-	-1
295	chr1_225690883_225692610_-	chr1_225692693_225692755_-	1	225690883	225692610	-	1	225692693	225692755	-	-1
296	chr1_24105922_24114512_+	chr1_24112805_24112868_+	1	24105922	24114512	+	1	24112805	24112868	+	1
297	chr1_24989645_24998793_+	chr1_24989674_24989715_+	1	24989645	24998793	+	1	24989674	24989715	+	1
298	chr1_25570638_25571012_-	chr1_25570945_25570989_-	1	25570638	25571012	-	1	25570945	25570989	-	-1
299	chr1_25570638_25571012_-	chr1_25570981_25570989_-	1	25570638	25571012	-	1	25570981	25570989	-	-1
300	chr1_25570967_25571066_-	chr1_25570981_25570989_-	1	25570967	25571066	-	1	25570981	25570989	-	-1
301	chr10_70096929_70098905_+	chr10_70097373_70097753_+	10	70096929	70098905	+	10	70097373	70097753	+	1
302	chr10_70096970_70098539_+	chr10_70097373_70097753_+	10	70096970	70098539	+	10	70097373	70097753	+	1
303	chr10_79799947_79807960_+	chr10_79799959_79799983_+	10	79799947	79807960	+	10	79799959	79799983	+	1
304	chr10_79799947_79807960_+	chr10_79799962_79799983_+	10	79799947	79807960	+	10	79799962	79799983	+	1
305	chr10_97110736_97116866_-	chr10_97110966_97111133_-	10	97110736	97116866	-	10	97110966	97111133	-	-1
306	chr10_97110736_97116866_-	chr10_97110973_97111133_-	10	97110736	97116866	-	10	97110973	97111133	-	-1
307	chr10_99205990_99214335_+	chr10_99210114_99210293_+	10	99205990	99214335	+	10	99210114	99210293	+	1
308	chr10_103868111_103877828_-	chr10_103874163_103874703_-	10	103868111	103877828	-	10	103874163	103874703	-	-1
309	chr10_103868112_103877502_-	chr10_103874163_103874703_-	10	103868112	103877502	-	10	103874163	103874703	-	-1
310	chr10_111892018_111894373_+	chr10_111892063_111892158_+	10	111892018	111894373	+	10	111892063	111892158	+	1
311	chr10_111892018_111894373_+	chr10_111892063_111892485_+	10	111892018	111894373	+	10	111892063	111892485	+	1
312	chr10_111892035_111894026_+	chr10_111892063_111892158_+	10	111892035	111894026	+	10	111892063	111892158	+	1
313	chr10_111892035_111894026_+	chr10_111892063_111892485_+	10	111892035	111894026	+	10	111892063	111892485	+	1
314	chr10_121335098_121342204_-	chr10_121339983_121340050_-	10	121335098	121342204	-	10	121339983	121340050	-	-1
315	chr10_121335098_121342204_-	chr10_121339983_121340358_-	10	121335098	121342204	-	10	121339983	121340358	-	-1
316	chr10_121335124_121340632_-	chr10_121339983_121340050_-	10	121335124	121340632	-	10	121339983	121340050	-	-1
317	chr10_121335124_121340632_-	chr10_121339983_121340358_-	10	121335124	121340632	-	10	121339983	121340358	-	-1
318	chr10_124184469_124190518_+	chr10_124187792_124187936_+	10	124184469	124190518	+	10	124187792	124187936	+	1
319	chr10_124186541_124190195_+	chr10_124187792_124187936_+	10	124186541	124190195	+	10	124187792	124187936	+	1
320	chr11_6499565_6501313_-	chr11_6499809_6499882_-	11	6499565	6501313	-	11	6499809	6499882	-	-1
321	chr11_6499565_6501662_-	chr11_6499809_6499882_-	11	6499565	6501662	-	11	6499809	6499882	-	-1
322	chr11_6499609_6501694_-	chr11_6499809_6499882_-	11	6499609	6501694	-	11	6499809	6499882	-	-1
323	chr11_57549019_57558871_+	chr11_57556509_57556627_+	11	57549019	57558871	+	11	57556509	57556627	+	1
324	chr11_57556151_57558886_+	chr11_57556509_57556627_+	11	57556151	57558886	+	11	57556509	57556627	+	1
325	chr11_57556471_57558871_+	chr11_57556509_57556627_+	11	57556471	57558871	+	11	57556509	57556627	+	1
326	chr11_57558862_57566790_+	chr11_57558964_57559145_+	11	57558862	57566790	+	11	57558964	57559145	+	1
327	chr11_57558862_57566790_+	chr11_57558966_57559145_+	11	57558862	57566790	+	11	57558966	57559145	+	1
328	chr11_57558862_57566790_+	chr11_57559031_57559145_+	11	57558862	57566790	+	11	57559031	57559145	+	1
332	chr1_29384562_29387150_+	chr1_29386934_29386996_+	1	29384562	29387150	+	1	29386934	29386996	+	1
333	chr1_29384581_29387154_+	chr1_29386934_29386996_+	1	29384581	29387154	+	1	29386934	29386996	+	1
334	chr11_66410855_66413857_+	chr11_66411221_66411611_+	11	66410855	66413857	+	11	66411221	66411611	+	1
335	chr11_66410856_66413741_+	chr11_66411221_66411611_+	11	66410856	66413741	+	11	66411221	66411611	+	1
336	chr11_66410863_66413603_+	chr11_66411221_66411611_+	11	66410863	66413603	+	11	66411221	66411611	+	1
337	chr11_85688736_85689635_-	chr11_85689113_85689136_-	11	85688736	85689635	-	11	85689113	85689136	-	-1
338	chr11_85688742_85689575_-	chr11_85689113_85689136_-	11	85688742	85689575	-	11	85689113	85689136	-	-1
339	chr11_85688878_85694915_-	chr11_85689113_85689136_-	11	85688878	85694915	-	11	85689113	85689136	-	-1
340	chr11_85688878_85694915_-	chr11_85689113_85689758_-	11	85688878	85694915	-	11	85689113	85689758	-	-1
341	chr11_85688881_85692918_-	chr11_85689113_85689136_-	11	85688881	85692918	-	11	85689113	85689136	-	-1
342	chr11_85688881_85692918_-	chr11_85689113_85689758_-	11	85688881	85692918	-	11	85689113	85689758	-	-1
343	chr11_102056728_102057815_+	chr11_102056749_102056862_+	11	102056728	102057815	+	11	102056749	102056862	+	1
344	chr11_102056728_102057815_+	chr11_102056749_102057417_+	11	102056728	102057815	+	11	102056749	102057417	+	1
345	chr11_102056728_102057815_+	chr11_102056812_102056862_+	11	102056728	102057815	+	11	102056812	102056862	+	1
