ph	eClip	exon	RBP	gene_name	delta.psi.c	id	energy	spread	icSHAPE_delta_reactivity	evo_qvalue	n.ph.in.cluster
chr1_29384562_29387150_+	chr1_29387048_29387157_+	chr1_29386934_29386996_+	RBFOX2	EPB41	-0.65	17849	-16.4	2588		0.261554136885726	40
chr1_29384581_29387154_+	chr1_29387048_29387157_+	chr1_29386934_29386996_+	RBFOX2	EPB41	-0.65	17850	-16.7	2573		0.904809275176359	40
chr11_66410855_66413857_+	chr11_66410846_66410901_+	chr11_66411221_66411611_+	SF3B4	RBM14-RBM4	-0.28	180273	-23.1	3002		0.940955933506288	46
chr11_66410856_66413741_+	chr11_66410846_66410901_+	chr11_66411221_66411611_+	SF3B4	RBM14-RBM4	-0.28	180274	-17	2885		0.405815243997332	45
chr11_66410863_66413603_+	chr11_66410846_66410901_+	chr11_66411221_66411611_+	SF3B4	RBM14-RBM4	-0.28	180276	-18.9	2740		0.020951933278366	45
chr11_85688736_85689635_-	chr11_85688727_85688776_-	chr11_85689113_85689136_-	RBFOX2	PICALM	-0.38	186463	-20.6	899		0.325301543831094	22
chr11_85688742_85689575_-	chr11_85688727_85688776_-	chr11_85689113_85689136_-	RBFOX2	PICALM	-0.38	186464	-17	833		1	22
chr11_85688878_85694915_-	chr11_85688840_85688890_-	chr11_85689113_85689136_-	RBFOX2	PICALM	-0.38	186471	-18	6037		0.214520603939002	19
chr11_85688878_85694915_-	chr11_85688840_85688890_-	chr11_85689113_85689758_-	RBFOX2	PICALM	-0.36	186471	-18	6037		0.214520603939002	19
chr11_85688881_85692918_-	chr11_85688840_85688890_-	chr11_85689113_85689136_-	RBFOX2	PICALM	-0.38	186472	-17.3	4037		1	17
chr11_85688881_85692918_-	chr11_85688840_85688890_-	chr11_85689113_85689758_-	RBFOX2	PICALM	-0.36	186472	-17.3	4037		1	17
chr11_102056728_102057815_+	chr11_102056734_102056801_+	chr11_102056749_102056862_+	U2AF2	YAP1	-0.42	188639	-15.5	1087		1	15
chr11_102056728_102057815_+	chr11_102056734_102056801_+	chr11_102056749_102057417_+	U2AF2	YAP1	-0.5	188639	-15.5	1087		1	15
chr11_102056728_102057815_+	chr11_102056734_102056801_+	chr11_102056812_102056862_+	U2AF2	YAP1	-0.53	188639	-15.5	1087		1	15
chr12_6781498_6788102_-	chr12_6788063_6788130_-	chr12_6787827_6787876_-	PRPF8	ZNF384	-0.43	206890	-19.6	6604		1	104
chr12_6781498_6788102_-	chr12_6788063_6788130_-	chr12_6787829_6787876_-	PRPF8	ZNF384	-0.39	206890	-19.6	6604		1	104
chr12_6781498_6788102_-	chr12_6788063_6788130_-	chr12_6787831_6787876_-	PRPF8	ZNF384	-0.43	206890	-19.6	6604		1	104
chr12_6781763_6788117_-	chr12_6788063_6788130_-	chr12_6787827_6787876_-	PRPF8	ZNF384	-0.43	206900	-18.6	6354		0.71940719054242	98
chr12_6781763_6788117_-	chr12_6788063_6788130_-	chr12_6787829_6787876_-	PRPF8	ZNF384	-0.39	206900	-18.6	6354		0.71940719054242	98
chr12_6781763_6788117_-	chr12_6788063_6788130_-	chr12_6787831_6787876_-	PRPF8	ZNF384	-0.43	206900	-18.6	6354		0.71940719054242	98
chr12_6781800_6788104_-	chr12_6788063_6788130_-	chr12_6787827_6787876_-	PRPF8	ZNF384	-0.43	206904	-17	6304		1	97
chr12_6781800_6788104_-	chr12_6788063_6788130_-	chr12_6787829_6787876_-	PRPF8	ZNF384	-0.39	206904	-17	6304		1	97
chr12_6781800_6788104_-	chr12_6788063_6788130_-	chr12_6787831_6787876_-	PRPF8	ZNF384	-0.43	206904	-17	6304		1	97
chr12_6782047_6788101_-	chr12_6788063_6788130_-	chr12_6787827_6787876_-	PRPF8	ZNF384	-0.43	206915	-17.6	6054		0.322882917975512	71
chr12_6782047_6788101_-	chr12_6788063_6788130_-	chr12_6787829_6787876_-	PRPF8	ZNF384	-0.39	206915	-17.6	6054		0.322882917975512	71
chr12_6782047_6788101_-	chr12_6788063_6788130_-	chr12_6787831_6787876_-	PRPF8	ZNF384	-0.43	206915	-17.6	6054		0.322882917975512	71
chr12_6782112_6788109_-	chr12_6788063_6788130_-	chr12_6787827_6787876_-	PRPF8	ZNF384	-0.43	206917	-22.3	5997		1	61
chr12_6782112_6788109_-	chr12_6788063_6788130_-	chr12_6787829_6787876_-	PRPF8	ZNF384	-0.39	206917	-22.3	5997		1	61
chr12_6782112_6788109_-	chr12_6788063_6788130_-	chr12_6787831_6787876_-	PRPF8	ZNF384	-0.43	206917	-22.3	5997		1	61
chr12_6786435_6788109_-	chr12_6788063_6788130_-	chr12_6787827_6787876_-	PRPF8	ZNF384	-0.43	206928	-18.8	1674		1	47
chr12_6786435_6788109_-	chr12_6788063_6788130_-	chr12_6787829_6787876_-	PRPF8	ZNF384	-0.39	206928	-18.8	1674		1	47
chr12_6786435_6788109_-	chr12_6788063_6788130_-	chr12_6787831_6787876_-	PRPF8	ZNF384	-0.43	206928	-18.8	1674		1	47
chr12_6787791_6788099_-	chr12_6788063_6788130_-	chr12_6787827_6787876_-	PRPF8	ZNF384	-0.43	206937	-16.3	308		0.909317059551097	31
chr12_6787791_6788099_-	chr12_6788063_6788130_-	chr12_6787829_6787876_-	PRPF8	ZNF384	-0.39	206937	-16.3	308		0.909317059551097	31
chr12_6787791_6788099_-	chr12_6788063_6788130_-	chr12_6787831_6787876_-	PRPF8	ZNF384	-0.43	206937	-16.3	308		0.909317059551097	31
chr12_27113353_27113589_+	chr12_27113333_27113356_+	chr12_27113448_27113561_+	QKI	FGFR1OP2	-0.57	215030	-15.9	236		0.189670738745858	2
chr12_27113353_27113589_+	chr12_27113358_27113389_+	chr12_27113448_27113561_+	QKI	FGFR1OP2	-0.57	215030	-15.9	236		0.189670738745858	2
chr12_50479122_50483675_+	chr12_50479126_50479302_+	chr12_50481146_50481268_+	SRSF1	SMARCD1	-0.35	220867	-22.1	4553		1	41
chr12_50479126_50483037_+	chr12_50479126_50479302_+	chr12_50481146_50481268_+	SRSF1	SMARCD1	-0.35	220868	-29	3911		0.968935829354389	33
chr12_50479322_50484378_+	chr12_50479307_50479344_+	chr12_50481146_50481268_+	PRPF8	SMARCD1	-0.3	220871	-16.6	5056		0.867045381533132	41
chr12_57924065_57932326_-	chr12_57932302_57932332_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235577	-18	8261		0.798809417758234	44
chr12_57924065_57932326_-	chr12_57932302_57932332_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235577	-18	8261		0.798809417758234	44
chr12_57924147_57932314_-	chr12_57932302_57932332_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235585	-20.5	8167		1	43
chr12_57924147_57932314_-	chr12_57932302_57932332_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235585	-20.5	8167		1	43
chr12_57924183_57932332_-	chr12_57932302_57932332_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235587	-16.7	8149		1	44
chr12_57924183_57932332_-	chr12_57932302_57932332_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235587	-16.7	8149		1	44
chr12_57929871_57932335_-	chr12_57932302_57932332_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235604	-19.3	2464		1	37
chr12_57929871_57932335_-	chr12_57932332_57932337_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235604	-19.3	2464		1	37
chr12_57929871_57932335_-	chr12_57932302_57932332_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235604	-19.3	2464		1	37
chr12_57929871_57932335_-	chr12_57932332_57932337_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235604	-19.3	2464		1	37
chr12_57929871_57932335_-	chr12_57932302_57932332_-	chr12_57932302_57932335_-	U2AF2	DCTN2	0.57	235604	-19.3	2464		1	37
chr12_57929871_57932335_-	chr12_57932332_57932337_-	chr12_57932302_57932335_-	U2AF2	DCTN2	0.57	235604	-19.3	2464		1	37
chr12_57929875_57932364_-	chr12_57932341_57932386_-	chr12_57932266_57932307_-	U2AF1	DCTN2	0.54	235608	-21.7	2489		0.318856222194805	38
chr12_57929875_57932364_-	chr12_57932341_57932386_-	chr12_57932302_57932335_-	U2AF1	DCTN2	0.56	235608	-21.7	2489		0.318856222194805	38
chr12_57929875_57932364_-	chr12_57932341_57932386_-	chr12_57932302_57932307_-	U2AF1	DCTN2	0.68	235608	-21.7	2489		0.318856222194805	38
chr12_57929875_57932364_-	chr12_57932337_57932387_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235608	-21.7	2489		0.318856222194805	38
chr12_57929875_57932364_-	chr12_57932337_57932387_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235608	-21.7	2489		0.318856222194805	38
chr12_57929875_57932364_-	chr12_57932337_57932387_-	chr12_57932302_57932335_-	U2AF2	DCTN2	0.57	235608	-21.7	2489		0.318856222194805	38
chr12_57929973_57932343_-	chr12_57932302_57932332_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932332_57932337_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932337_57932387_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932302_57932332_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932332_57932337_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932337_57932387_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932302_57932332_-	chr12_57932302_57932335_-	U2AF2	DCTN2	0.57	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932332_57932337_-	chr12_57932302_57932335_-	U2AF2	DCTN2	0.57	235613	-16.3	2370		1	33
chr12_57929973_57932343_-	chr12_57932337_57932387_-	chr12_57932302_57932335_-	U2AF2	DCTN2	0.57	235613	-16.3	2370		1	33
chr12_57931499_57932321_-	chr12_57932302_57932332_-	chr12_57932266_57932307_-	U2AF2	DCTN2	0.56	235616	-15.9	822		1	30
chr12_57931499_57932321_-	chr12_57932302_57932332_-	chr12_57932302_57932307_-	U2AF2	DCTN2	0.68	235616	-15.9	822		1	30
chr12_110937289_110939876_-	chr12_110937272_110937322_-	chr12_110937340_110937351_-	QKI	VPS29	0.29	246826	-17.7	2587		1	8
chr12_110937296_110937511_-	chr12_110937272_110937322_-	chr12_110937340_110937351_-	QKI	VPS29	0.29	246828	-17.1	215		0.447803619261413	8
chr12_110937318_110939872_-	chr12_110937272_110937322_-	chr12_110937340_110937351_-	QKI	VPS29	0.29	246829	-18.1	2554		1	8
chr12_122237558_122241152_-	chr12_122237550_122237591_-	chr12_122240537_122240712_-	DDX59	RHOF	0.33	250724	-16.4	3594		0.434458570233534	134
chr12_122237558_122241152_-	chr12_122237550_122237591_-	chr12_122240537_122240690_-	DDX59	RHOF	0.26	250724	-16.4	3594		0.434458570233534	134
chr12_122237559_122240837_-	chr12_122237550_122237591_-	chr12_122240537_122240712_-	DDX59	RHOF	0.33	250725	-20.7	3278		1	132
chr12_122237559_122240837_-	chr12_122237550_122237591_-	chr12_122240537_122240690_-	DDX59	RHOF	0.26	250725	-20.7	3278		1	132
chr12_122237560_122241098_-	chr12_122237550_122237591_-	chr12_122240537_122240712_-	DDX59	RHOF	0.33	250726	-17.2	3538		0.599469774740921	134
chr12_122237560_122241098_-	chr12_122237550_122237591_-	chr12_122240537_122240690_-	DDX59	RHOF	0.26	250726	-17.2	3538		0.599469774740921	134
chr12_122239697_122240761_-	chr12_122239705_122239767_-	chr12_122240537_122240690_-	SF3A3	RHOF	-0.41	250771	-15.8	1064		0.202770747677124	108
chr12_122239697_122240761_-	chr12_122239705_122239767_-	chr12_122240537_122240712_-	SF3A3	RHOF	-0.43	250771	-15.8	1064		0.202770747677124	108
chr12_122995649_123005374_-	chr12_122995655_122995715_-	chr12_123005051_123005128_-	EIF3D	RSRC2	0.21	251035	-15	9725		1	26
chr14_21485116_21494594_-	chr14_21485041_21485176_-	chr14_21491023_21491064_-	LIN28B	NDRG2	0.17	268258	-16	9478		0.444951220304101	76
chr14_21485116_21494594_-	chr14_21485041_21485176_-	chr14_21491023_21491311_-	LIN28B	NDRG2	0.14	268258	-16	9478		0.444951220304101	76
chr14_21485133_21494040_-	chr14_21485041_21485176_-	chr14_21491023_21491064_-	LIN28B	NDRG2	0.17	268259	-26.8	8907		1	59
chr14_21485133_21494040_-	chr14_21485041_21485176_-	chr14_21491023_21491311_-	LIN28B	NDRG2	0.14	268259	-26.8	8907		1	59
chr14_21485133_21494151_-	chr14_21485041_21485176_-	chr14_21491023_21491064_-	LIN28B	NDRG2	0.17	268260	-20.3	9018		0.101510480747067	64
chr14_21485133_21494151_-	chr14_21485041_21485176_-	chr14_21491023_21491311_-	LIN28B	NDRG2	0.14	268260	-20.3	9018		0.101510480747067	64
chr14_21730795_21732005_-	chr14_21731947_21732002_-	chr14_21731470_21731495_-	U2AF2	HNRNPC	-0.47	268812	-15.8	1210		1	43
chr14_21730795_21732005_-	chr14_21731947_21732002_-	chr14_21731470_21731741_-	U2AF2	HNRNPC	-0.43	268812	-15.8	1210		1	43
chr14_21730795_21732005_-	chr14_21731947_21732002_-	chr14_21731470_21731988_-	U2AF2	HNRNPC	-0.41	268812	-15.8	1210		1	43
chr14_21731224_21737205_-	chr14_21737145_21737202_-	chr14_21731470_21731495_-	U2AF2	HNRNPC	-0.47	268829	-17.3	5981		0.186451530916238	38
chr14_21731224_21737205_-	chr14_21737202_21737210_-	chr14_21731470_21731495_-	U2AF2	HNRNPC	-0.47	268829	-17.3	5981		0.186451530916238	38
chr14_21731224_21737205_-	chr14_21737145_21737202_-	chr14_21731470_21731741_-	U2AF2	HNRNPC	-0.43	268829	-17.3	5981		0.186451530916238	38
chr14_21731224_21737205_-	chr14_21737202_21737210_-	chr14_21731470_21731741_-	U2AF2	HNRNPC	-0.43	268829	-17.3	5981		0.186451530916238	38
chr14_21731224_21737205_-	chr14_21737145_21737202_-	chr14_21731470_21731988_-	U2AF2	HNRNPC	-0.41	268829	-17.3	5981		0.186451530916238	38
chr14_21731224_21737205_-	chr14_21737202_21737210_-	chr14_21731470_21731988_-	U2AF2	HNRNPC	-0.41	268829	-17.3	5981		0.186451530916238	38
chr14_21731236_21731997_-	chr14_21731947_21732002_-	chr14_21731470_21731495_-	U2AF2	HNRNPC	-0.47	268830	-19.4	761		1	37
chr14_21731236_21731997_-	chr14_21731947_21732002_-	chr14_21731470_21731741_-	U2AF2	HNRNPC	-0.43	268830	-19.4	761		1	37
chr14_21731236_21731997_-	chr14_21731947_21732002_-	chr14_21731470_21731988_-	U2AF2	HNRNPC	-0.41	268830	-19.4	761		1	37
chr14_21731419_21736804_-	chr14_21736799_21736849_-	chr14_21731470_21731495_-	U2AF2	HNRNPC	-0.47	268836	-16.9	5385		1	37
chr14_21731419_21736804_-	chr14_21736799_21736849_-	chr14_21731470_21731741_-	U2AF2	HNRNPC	-0.43	268836	-16.9	5385		1	37
chr14_21731419_21736804_-	chr14_21736799_21736849_-	chr14_21731470_21731988_-	U2AF2	HNRNPC	-0.41	268836	-16.9	5385		1	37
chr14_23528118_23538069_-	chr14_23528119_23528143_-	chr14_23536523_23537880_-	LSM11	ACIN1	-0.2	269572	-19.1	9951		0.197493043872891	571
chr14_23528293_23538237_-	chr14_23528290_23528335_-	chr14_23536523_23537880_-	LSM11	ACIN1	-0.2	269588	-19.1	9944		0.623625240425079	577
chr14_23530826_23540079_-	chr14_23530803_23530830_-	chr14_23536523_23537880_-	GRWD1	ACIN1	-0.14	269600	-19.9	9253		1	635
chr14_23530826_23540079_-	chr14_23530804_23530830_-	chr14_23536523_23537880_-	LSM11	ACIN1	-0.2	269600	-19.9	9253		1	635
chr14_23533698_23538833_-	chr14_23538813_23538826_-	chr14_23536523_23537880_-	GRWD1	ACIN1	-0.14	269673	-15	5135		0.345249712244352	588
chr14_23535227_23538694_-	chr14_23538686_23538701_-	chr14_23536523_23537880_-	GRWD1	ACIN1	-0.14	269696	-16.9	3467		1	580
chr14_23776947_23781722_+	chr14_23776954_23777008_+	chr14_23778025_23778039_+	U2AF2	BCL2L2-PABPN1	0.56	270651	-16.1	4775		1	336
chr14_23776947_23781722_+	chr14_23776954_23777008_+	chr14_23778025_23778141_+	U2AF2	BCL2L2-PABPN1	0.56	270651	-16.1	4775		1	336
chr14_23776947_23781722_+	chr14_23776954_23777008_+	chr14_23778025_23780968_+	U2AF2	BCL2L2-PABPN1	0.56	270651	-16.1	4775		1	336
chr14_23776952_23780631_+	chr14_23776954_23777008_+	chr14_23778025_23778039_+	U2AF2	BCL2L2	0.56	270652	-20.5	3679		1	330
chr14_23776952_23780631_+	chr14_23776954_23777008_+	chr14_23778025_23778141_+	U2AF2	BCL2L2	0.56	270652	-20.5	3679		1	330
chr14_23776953_23778436_+	chr14_23776954_23777008_+	chr14_23778025_23778039_+	U2AF2	BCL2L2	0.56	270653	-17.8	1483		0.247864904609854	251
chr14_23776953_23778436_+	chr14_23776954_23777008_+	chr14_23778025_23778141_+	U2AF2	BCL2L2	0.56	270653	-17.8	1483		0.247864904609854	251
chr14_23776967_23779311_+	chr14_23776954_23777008_+	chr14_23778025_23778039_+	U2AF2	BCL2L2	0.56	270654	-15.5	2344		1	271
chr14_23776967_23779311_+	chr14_23776954_23777008_+	chr14_23778025_23778141_+	U2AF2	BCL2L2	0.56	270654	-15.5	2344		1	271
chr14_23778022_23778682_+	chr14_23777980_23778086_+	chr14_23778025_23778039_+	U2AF2	BCL2L2	0.56	270667	-16.3	660		1	239
chr14_23778022_23778682_+	chr14_23777980_23778086_+	chr14_23778025_23778141_+	U2AF2	BCL2L2	0.56	270667	-16.3	660		1	239
chr14_36009228_36019201_-	chr14_36009149_36009237_-	chr14_36017714_36017744_-	RBFOX2	RALGAPA1	-0.28	281927	-17	9973		0.212150850964429	132
chr14_36009228_36019201_-	chr14_36009149_36009237_-	chr14_36017739_36017744_-	RBFOX2	RALGAPA1	-0.4	281927	-17	9973		0.212150850964429	132
chr14_36011025_36019283_-	chr14_36011009_36011057_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281947	-18.5	8258		0.525075419939969	143
chr14_36011025_36019283_-	chr14_36011009_36011057_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281947	-18.5	8258		0.525075419939969	143
chr14_36011042_36020402_-	chr14_36011009_36011057_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281948	-18.5	9360		1	177
chr14_36011042_36020402_-	chr14_36011009_36011057_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281948	-18.5	9360		1	177
chr14_36011097_36020538_-	chr14_36011083_36011146_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281951	-15.7	9441		0.661551584152677	186
chr14_36011097_36020538_-	chr14_36011083_36011146_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281951	-15.7	9441		0.661551584152677	186
chr14_36011097_36020538_-	chr14_36011097_36011154_-	chr14_36017714_36017744_-	RBFOX2	RALGAPA1	-0.28	281951	-15.7	9441		0.661551584152677	186
chr14_36011097_36020538_-	chr14_36011097_36011154_-	chr14_36017739_36017744_-	RBFOX2	RALGAPA1	-0.4	281951	-15.7	9441		0.661551584152677	186
chr14_36017451_36017873_-	chr14_36017455_36017468_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281978	-15.2	422		0.688817140809234	93
chr14_36017451_36017873_-	chr14_36017455_36017468_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281978	-15.2	422		0.688817140809234	93
chr14_36017459_36019478_-	chr14_36017455_36017468_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281979	-19.7	2019		1	143
chr14_36017459_36019478_-	chr14_36017468_36017518_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281979	-19.7	2019		1	143
chr14_36017459_36019478_-	chr14_36017455_36017468_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281979	-19.7	2019		1	143
chr14_36017459_36019478_-	chr14_36017468_36017518_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281979	-19.7	2019		1	143
chr14_36017472_36020368_-	chr14_36017468_36017518_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281980	-15.7	2896		1	164
chr14_36017472_36020368_-	chr14_36017468_36017518_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281980	-15.7	2896		1	164
chr14_36017472_36020318_-	chr14_36017468_36017518_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281981	-15.2	2846		1	158
chr14_36017472_36020318_-	chr14_36017468_36017518_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281981	-15.2	2846		1	158
chr14_36017496_36020463_-	chr14_36017468_36017518_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281982	-20.1	2967		1	173
chr14_36017496_36020463_-	chr14_36017468_36017518_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281982	-20.1	2967		1	173
chr14_36017496_36020463_-	chr14_36017492_36017552_-	chr14_36017714_36017744_-	RBFOX2	RALGAPA1	-0.28	281982	-20.1	2967		1	173
chr14_36017496_36020463_-	chr14_36017492_36017552_-	chr14_36017739_36017744_-	RBFOX2	RALGAPA1	-0.4	281982	-20.1	2967		1	173
chr14_36017531_36021959_-	chr14_36017518_36017539_-	chr14_36017714_36017744_-	QKI	RALGAPA1	-0.75	281983	-18	4428		1	209
chr14_36017531_36021959_-	chr14_36017518_36017539_-	chr14_36017739_36017744_-	QKI	RALGAPA1	-0.8	281983	-18	4428		1	209
chr14_36017531_36021959_-	chr14_36017492_36017552_-	chr14_36017714_36017744_-	RBFOX2	RALGAPA1	-0.28	281983	-18	4428		1	209
